function_name,start_timestamp,end_timestamp,PAPI_TOT_CYC,PAPI_L1_DCM,PAPI_TOT_INS
add,1724175586.179188285,1724175586.179198022,14458,277,5748
max,1724175586.179209741,1724175586.179229904,3806,42,3682
mul,1724175586.179236517,1724175586.179239636,1991,15,3679
print_message,1724175586.179246806,1724175586.179251712,4848,95,4956
print_message,1724175586.179259339,1724175586.179264798,3212,27,4195
print_message,1724175586.179276139,1724175586.179290343,3996,64,4201
print_message,1724175586.179300231,1724175586.179304832,2901,23,4194
